POST_CODE,PHARMACY_OPENING_HOURS_SATURDAY,PHARMACY_OPENING_HOURS_THURSDAY,CONTRACT_TYPE,ADDRESS_FIELD_4,ADDRESS_FIELD_3,ADDRESS_FIELD_2,ADDRESS_FIELD_1,TUES_TOTAL,PHARMACY_OPENING_HOURS_TUESDAY,HEALTH_AND_WELLBEING_BOARD,PHARMACY_OPENING_HOURS_FRIDAY,ORGANISATION_NAME,THURS_TOTAL,WEEKLY_TOTAL,PHARMACY_OPENING_HOURS_WEDNESDAY,FRI_TOTAL,PHARMACY_TRADING_NAME,PHARMACY_OPENING_HOURS_MONDAY,SUN_TOTAL,MON_TOTAL,PHARMACY_ODS_CODE__F_CODE_,PHARMACY_OPENING_HOURS_SUNDAY,SAT_TOTAL,WED_TOTAL
BH22 9TH,08:00-18:00,08:00-19:00,Community,,DORSET,FERNDOWN,FERNDOWN DISTRICT CENTRE,11,08:00-19:00,DORSET,08:00-19:00,TESCO STORES LIMITED,11,71,08:00-19:00,11,TESCO INSTORE PHARMACY,08:00-19:00,6,11,FM887,10:00-16:00,10,11
BH10 4BX,08:00-12:00,08:00-20:00,Community,DORSET,BOURNEMOUTH,63 KINSON ROAD,TALBOT MEDICAL CENTRE,12,08:00-20:00,BOURNEMOUTH & POOLE,08:00-18:30,AVICENNA RETAIL LTD,12,59.5,08:00-18:30,10.5,AVICENNA PHARMACY,08:00-18:30,0,10.5,FP470,CLOSED,4,10.5
BH31 6DW,09:00-16:00,08:00-20:00,Community,DORSET,VERWOOD,10 MANOR ROAD,BANK COURT,12,08:00-20:00,DORSET,08:00-20:00,PHARMLAND LTD,12,67,08:00-20:00,12,VERWOOD PHARMACY,08:00-20:00,0,12,FXG05,CLOSED,7,12
BH4 9HJ,08:00-21:00,08:00-21:00,Community,DORSET,BOURNEMOUTH,"MILBURN ROAD,WESTBOURNE",WESTBOURNE MEDICAL CENTRE,13,08:00-21:00,BOURNEMOUTH & POOLE,08:00-21:00,POOLE BAY PHARMACY LTD,13,82,08:00-21:00,13,POOLE BAY PHARMACY,08:00-21:00,4,13,FM668,10:00-14:00,13,13
BH10 5EY,08:45-12:00,08:30-18:30,Community," ",BOURNEMOUTH,KINSON,446 KINSON ROAD,10,08:30-18:30,BOURNEMOUTH & POOLE,08:30-18:30,LP SD NINETY SEVEN LIMITED,10,53.25,08:30-18:30,10,JHOOTS PHARMACY,08:30-18:30,0,10,FE870,CLOSED,3.25,10
DT6 5BN,09:30-12:00,08:45-18:00,Community,DORSET,BRIDPORT,WEST ALLINGTON,BRIDPORT MEDICAL CENTRE,9.25,08:45-18:00,DORSET,08:45-18:00,LP SD FIFTY LIMITED,9.25,48.75,08:45-18:00,9.25,JHOOTS PHARMACY,08:45-18:00,0,9.25,FCV51,CLOSED,2.5,9.25
BH8 8DL,08:00-20:00,09:00-20:00,Community,,BOURNEMOUTH,ST.PAULS ROAD,ASDA SUPERSTORE,11,09:00-20:00,BOURNEMOUTH & POOLE,09:00-20:00,ASDA STORES LTD,11,73,09:00-20:00,11,ASDA PHARMACY,09:00-20:00,6,11,FHC36,11:00-17:00,12,11
BH8 9UY,09:00-18:00,09:00-20:00,Community,,BOURNEMOUTH,CASTLE LANE WEST,UNITS E & F CASTLE POINT,11,09:00-20:00,BOURNEMOUTH & POOLE,09:00-20:00,BOOTS UK LIMITED,11,70,09:00-20:00,11,BOOTS,09:00-20:00,6,11,FWN86,10:30-16:30,9,11
BH12 5BU,09:00-21:00,09:00-21:00,Community,DORSET,POOLE,WALLISDOWN,337 WALLISDOWN ROAD,12,09:00-21:00,BOURNEMOUTH & POOLE,09:00-21:00,AA  AND OO LIMITED,12,82,09:00-21:00,12,WALLISDOWN PHARMACY,09:00-21:00,10,12,FVA67,09:00-19:00,12,12
BH9 3RE,08:30-12:00,"08:30-13:00,13:20-17:30",Community,DORSET,BOURNEMOUTH,MUSCLIFFE,3 TOLPUDDLE GARDENS,8.666666667,"08:30-13:00,13:20-17:30",BOURNEMOUTH & POOLE,"08:30-13:00,13:20-17:30",L ROWLAND & CO (RETAIL) LTD,8.666666667,46.83333333,"08:30-13:00,13:20-17:30",8.666666667,ROWLANDS PHARMACY,"08:30-13:00,13:20-17:30",0,8.666666667,FM738,CLOSED,3.5,8.666666667
BH10 5BG,09:00-12:00,"08:30-13:00,13:20-17:30",Community,DORSET,BOURNEMOUTH,ENSBURY PARK,"8 NEW PDE, HILL VIEW RD",8.666666667,"08:30-13:00,13:20-17:30",BOURNEMOUTH & POOLE,"08:30-13:00,13:20-17:30",L ROWLAND & CO (RETAIL) LTD,8.666666667,46.33333333,"08:30-13:00,13:20-17:30",8.666666667,ROWLANDS PHARMACY,"08:30-13:00,13:20-17:30",0,8.666666667,FQQ97,CLOSED,3,8.666666667
BH22 9HB,09:00-12:00,"08:45-13:00,13:20-18:00",Community,DORSET,FERNDOWN,ST MARY'S ROAD,FERNDOWN MEDICAL CENTRE,8.916666667,"08:45-13:00,13:20-18:00",DORSET,"08:45-13:00,13:20-18:00",L ROWLAND & CO (RETAIL) LTD,8.916666667,47.58333333,"08:45-13:00,13:20-18:00",8.916666667,ROWLANDS PHARMACY,"08:45-13:00,13:20-18:00",0,8.916666667,FPX94,CLOSED,3,8.916666667
BH16 5NJ,09:00-12:00,"08:45-13:00,13:20-18:30",Community,DORSET,POOLE,UPTON,"UNIT 2,1 DORCHESTER ROAD",9.416666667,"08:45-13:00,13:20-18:30",DORSET,"08:45-13:00,13:20-18:30",L ROWLAND & CO (RETAIL) LTD,9.416666667,50.08333333,"08:45-13:00,13:20-18:30",9.416666667,ROWLANDS PHARMACY,"08:45-13:00,13:20-18:30",0,9.416666667,FQN44,CLOSED,3,9.416666667
DT3 6NQ,09:00-12:00,"09:00-13:00,13:20-18:00",Community,DORSET,"LITTLEMOOR ROAD, WEYMOUTH",LITTLEMOOR SHOPPING CTR,UNIT 3,8.666666667,"09:00-13:00,13:20-18:00",DORSET,"09:00-13:00,13:20-18:00",L ROWLAND & CO (RETAIL) LTD,8.666666667,46.33333333,"09:00-13:00,13:20-18:00",8.666666667,ROWLANDS PHARMACY,"09:00-13:00,13:20-18:00",0,8.666666667,FAL73,CLOSED,3,8.666666667
BH23 1EU,09:00-12:00,"09:00-13:00,13:20-18:00",Community," ",DORSET,CHRISTCHURCH,136 PUREWELL,8.666666667,"09:00-13:00,13:20-18:00",DORSET,"09:00-13:00,13:20-18:00",L ROWLAND & CO (RETAIL) LTD,8.666666667,46.33333333,"09:00-13:00,13:20-18:00",8.666666667,ROWLANDS PHARMACY,"09:00-13:00,13:20-18:00",0,8.666666667,FHE81,CLOSED,3,8.666666667
BH17 7XW,09:00-12:00,"09:00-13:00,13:20-18:00",Community,DORSET,POOLE,"NORTHMEAD DR, CREEKMOOR",BIRCHWOOD MEDICAL CENTRE,8.666666667,"09:00-13:00,13:20-18:00",BOURNEMOUTH & POOLE,"09:00-13:00,13:20-18:00",L ROWLAND & CO (RETAIL) LTD,8.666666667,46.33333333,"09:00-13:00,13:20-18:00",8.666666667,ROWLANDS PHARMACY,"09:00-13:00,13:20-18:00",0,8.666666667,FM001,CLOSED,3,8.666666667
BH8 9QR,09:00-12:00,"09:00-13:00,14:00-17:30",Community," ",BOURNEMOUTH," ",357-359 CHARMINSTER ROAD,7.5,"09:00-13:00,14:00-17:30",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-17:30",L ROWLAND & CO (RETAIL) LTD,7.5,40.5,"09:00-13:00,14:00-17:30",7.5,ROWLANDS PHARMACY,"09:00-13:00,14:00-17:30",0,7.5,FF756,CLOSED,3,7.5
BH20 4AF,"09:00-13:00,14:00-17:00","09:00-13:00,14:00-17:30",Community,DORSET,WAREHAM,,4 NORTH STREET,7.5,"09:00-13:00,14:00-17:30",DORSET,"09:00-13:00,14:00-17:30",BOOTS UK LIMITED,7.5,44.5,"09:00-13:00,14:00-17:30",7.5,BOOTS,"09:00-13:00,14:00-17:30",0,7.5,FGD38,CLOSED,7,7.5
DT7 3QF,"09:00-13:00,14:00-17:00","09:00-13:00,14:00-17:30",Community,DORSET,LYME REGIS,,45 BROAD STREET,7.5,"09:00-13:00,14:00-17:30",DORSET,"09:00-13:00,14:00-17:30",SNJ HEALTH LIMITED,7.5,44.5,"09:00-13:00,14:00-17:30",7.5,JHOOTS PHARMACY,"09:00-13:00,14:00-17:30",0,7.5,FHG74,CLOSED,7,7.5
BH16 6BG,CLOSED,"09:00-13:00,14:00-17:30",Community,"POOLE, DORSET",MATRAVERS,LYTCHETT,16 HIGH STREET,7.5,"09:00-13:00,14:00-17:30",DORSET,"09:00-13:00,14:00-17:00",REXPHARM SERVICES LTD,7.5,37,"09:00-13:00,14:00-17:30",7,LYTCHETT PHARMACY,"09:00-13:00,14:00-17:30",0,7.5,FN499,CLOSED,0,7.5
DT10 1PU,09:00-12:30,"09:00-13:00,14:00-17:30",Community,DORSET,STURMINSTER NEWTON,MARNHULL,CHURCH HILL,7.5,"09:00-13:00,14:00-17:30",DORSET,"09:00-13:00,14:00-17:30",ROSEPHARM LTD,7.5,41,"09:00-13:00,14:00-17:30",7.5,MARNHULL PHARMACY,"09:00-13:00,14:00-17:30",0,7.5,FRP28,CLOSED,3.5,7.5
BH6 3RA,"09:00-13:00,14:00-17:00","09:00-13:00,14:00-17:30",Community,DORSET,BOURNEMOUTH,SOUTHBOURNE,20-22 SOUTHBOURNE GROVE,7.5,"09:00-13:00,14:00-17:30",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-17:30",BOOTS UK LIMITED,7.5,44.5,"09:00-13:00,14:00-17:30",7.5,BOOTS,"09:00-13:00,14:00-17:30",0,7.5,FXM71,CLOSED,7,7.5
DT4 9SS,09:00-12:00,"09:00-13:00,14:00-17:45",Community,DORSET,WEYMOUTH,SOUTHILL,123 RADIPOLE LANE,7.75,"09:00-13:00,14:00-17:45",DORSET,"09:00-13:00,14:00-17:45",BESTWAY NATIONAL CHEMISTS LIMITED,7.75,41.75,"09:00-13:00,14:00-17:45",7.75,WELL,"09:00-13:00,14:00-17:45",0,7.75,FGM21,CLOSED,3,7.75
SP8 4FA,CLOSED,"09:00-13:00,14:00-18:15",Community,DORSET,GILLINGHAM,MARLOTT ROAD,MIDDLEFIELD HOUSE,8.25,"09:00-13:00,14:00-18:15",DORSET,"09:00-13:00,14:00-18:15",AVICENNA RETAIL LTD,8.25,41.25,"09:00-13:00,14:00-18:15",8.25,PEACEMARSH PHARMACY,"09:00-13:00,14:00-18:15",0,8.25,FHC80,CLOSED,0,8.25
BH8 9UD,"09:00-13:00,14:00-21:00","09:00-13:00,14:00-21:00",Community,DORSET,BOURNEMOUTH,,482 CASTLE LANE WEST,11,"09:00-13:00,14:00-21:00",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-21:00",CASTLE POINT (UK) LTD,11,77,"09:00-13:00,14:00-21:00",11,CASTLE LANE PHARMACY,"09:00-13:00,14:00-21:00",11,11,FA612,09:00-20:00,11,11
BH17 8UE,"09:00-13:00,14:00-21:00","09:00-13:00,14:00-21:00",Community,DORSET,POOLE,"9 MITCHELL RD,CANFORD HTH",CANFORD HEATH PHARMACY,11,"09:00-13:00,14:00-21:00",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-21:00",LAWTON PHARMACY CONSULTANTS LIMITED,11,76,"09:00-13:00,14:00-21:00",11,CANFORD HEATH PHARMACY,"09:00-13:00,14:00-21:00",10,11,FRK84,09:00-19:00,11,11
DT4 9DJ,09:00-13:00,"09:00-13:00,14:15-17:30",Community," ",DORSET,WEYMOUTH,LANEHOUSE ROCKS RD,7.25,"09:00-13:00,14:15-17:30",DORSET,"09:00-13:00,14:15-17:30",WESSEX PHARMACIES LTD,7.25,40.25,"09:00-13:00,14:15-17:30",7.25,WESSEX PHARMACY,"09:00-13:00,14:15-17:30",0,7.25,FCM76,CLOSED,4,7.25
DT4 7JJ,09:00-13:00,"09:00-13:00,14:15-17:30",Community," ",DORSET,WEYMOUTH,14 AVENUE RD,7.25,"09:00-13:00,14:15-17:30",DORSET,"09:00-13:00,14:15-17:30",WESSEX PHARMACIES LTD,7.25,40.25,"09:00-13:00,14:15-17:30",7.25,WESSEX PHARMACY,"09:00-13:00,14:15-17:30",0,7.25,FXF11,CLOSED,4,7.25
BH23 3QG,09:00-13:15,"09:00-13:15,14:15-17:30",Community,DORSET,CHRISTCHURCH,,186 SOMERFORD ROAD,7.5,"09:00-13:15,14:15-17:30",DORSET,"09:00-13:15,14:15-17:30",POPE KYRELLOS LIMITED,7.5,41.75,"09:00-13:15,14:15-17:30",7.5,SOMERFORD PHARMACY,"09:00-13:15,14:15-17:30",0,7.5,FGD30,CLOSED,4.25,7.5
DT11 7DX,09:00-16:00,"09:00-13:15,14:15-17:30",Community,DORSET,BLANDFORD,,45 EAST STREET,7.5,"09:00-13:15,14:15-17:30",DORSET,"09:00-13:15,14:15-17:30",BOOTS UK LIMITED,7.5,44.5,"09:00-13:15,14:15-17:30",7.5,BOOTS,"09:00-13:15,14:15-17:30",0,7.5,FND53,CLOSED,7,7.5
BH9 2RE,CLOSED,09:00-17:00,DAC,,BOURNEMOUTH,WINTON,8 VICTORIA PARK ROAD,8,09:00-17:00,BOURNEMOUTH & POOLE,09:00-17:00,FITTLEWORTH MEDICAL LIMITED,8,40,09:00-17:00,8,FITTLEWORTH MEDICAL LTD,09:00-17:00,0,8,FCY62,CLOSED,0,8
BH22 9NG,CLOSED,09:00-17:00,DAC,DORSET,FERNDOWN,,530 WIMBORNE ROAD EAST,8,09:00-17:00,DORSET,09:00-17:00,RESPOND HEALTHCARE LIMITED,8,40,09:00-17:00,8,RESPOND HEALTHCARE LTD,09:00-17:00,0,8,FMK11,CLOSED,0,8
BH21 4AY,CLOSED,09:00-18:00,Community,DORSET,WIMBORNE,STURMINSTER MARSHALL,66 HIGH STREET,9,09:00-18:00,DORSET,09:00-18:00,WELLBEING (UNITED KINGDOM) LIMITED,9,40,09:00-13:00,9,WELLBEING PHARMACY,09:00-18:00,0,9,FRL80,CLOSED,0,4
DT3 4DT,CLOSED,"08:30-13:00,14:00-17:30",Community,DORSET,WEYMOUTH,CHICKERELL,16 EAST STREET,8,"08:30-13:00,14:00-17:30",DORSET,"08:30-13:00,14:00-17:30",DAY LEWIS PLC,8,40,"08:30-13:00,14:00-17:30",8,DAY LEWIS PHARMACY,"08:30-13:00,14:00-17:30",0,8,FX758,CLOSED,0,8
BH6 3DB,CLOSED,"08:45-13:00,14:00-17:45",Community," ",BOURNEMOUTH,SOUTHBOURNE,29A BELLEVUE ROAD,8,"08:45-13:00,14:00-17:45",BOURNEMOUTH & POOLE,"08:45-13:00,14:00-17:45",PHARMASTAR LIMITED,8,40,"08:45-13:00,14:00-17:45",8,C & M CHEMISTS,"08:45-13:00,14:00-17:45",0,8,FWN53,CLOSED,0,8
BH22 9HU,CLOSED,"09:00-12:30,13:00-17:30",Community,DORSET,FERNDOWN,97 VICTORIA ROAD,REAR OF FERNDOWN PO,8,"09:00-12:30,13:00-17:30",DORSET,"09:00-12:30,13:00-17:30",P & D CARDS LIMITED,8,40,"09:00-12:30,13:00-17:30",8,MEDS2HOME PHARMACY,"09:00-12:30,13:00-17:30",0,8,FXL79,CLOSED,0,8
SP8 4AG,09:00-11:30,"09:00-12:30,13:30-17:30",Community,,DORSET,GILLINGHAM,THE HIGH STREET,7.5,"09:00-12:30,13:30-17:30",DORSET,"09:00-12:30,13:30-17:30",AVICENNA RETAIL LTD,7.5,40,"09:00-12:30,13:30-17:30",7.5,GILLINGHAM PHARMACY,"09:00-12:30,13:30-17:30",0,7.5,FTE44,CLOSED,2.5,7.5
BH19 1AF,CLOSED,"09:00-12:30,13:30-18:00",Community,,DORSET,SWANAGE,40 STATION ROAD,8,"09:00-12:30,13:30-18:00",DORSET,"09:00-12:30,13:30-18:00",BESTWAY NATIONAL CHEMISTS LIMITED,8,40,"09:00-12:30,13:30-18:00",8,WELL,"09:00-12:30,13:30-18:00",0,8,FQ123,CLOSED,0,8
DT8 3AA,09:00-11:30,"09:00-13:00,14:00-17:30",Community," ",DORSET,BEAMINSTER,20 HOGSHILL STREET,7.5,"09:00-13:00,14:00-17:30",DORSET,"09:00-13:00,14:00-17:30",FLAGSHIP (DORSET) LTD,7.5,40,"09:00-13:00,14:00-17:30",7.5,BEAMINSTER PHARMACY,"09:00-13:00,14:00-17:30",0,7.5,FFW83,CLOSED,2.5,7.5
BH12 3PG,CLOSED,"09:00-13:00,14:00-18:00",Community,DORSET,POOLE,RINGWOOD ROAD,45 WESSEX TRADE CENTRE,8,"09:00-13:00,14:00-18:00",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-18:00",AUTOMEDS PHARMACY LTD,8,40,"09:00-13:00,14:00-18:00",8,AUTOMEDS PHARMACY,"09:00-13:00,14:00-18:00",0,8,FAE92,CLOSED,0,8
BH20 7AX,CLOSED,"09:00-13:00,14:00-18:00",Community,DORSET,WAREHAM,SANDFORD,19 ST HELEN'S ROAD,8,"09:00-13:00,14:00-18:00",DORSET,"09:00-13:00,14:00-18:00",REXPHARM SERVICES LIMITED,8,40,"09:00-13:00,14:00-18:00",8,SANDFORD PHARMACY,"09:00-13:00,14:00-18:00",0,8,FGJ07,CLOSED,0,8
BH23 1QU,CLOSED,"09:00-13:00,14:00-18:00",Community,,DORSET,CHRISTCHURCH,2A TWYNHAM AVENUE,8,"09:00-13:00,14:00-18:00",DORSET,"09:00-13:00,14:00-18:00",BOOTS UK LIMITED,8,40,"09:00-13:00,14:00-18:00",8,BOOTS,"09:00-13:00,14:00-18:00",0,8,FV785,CLOSED,0,8
