POST_CODE,PHARMACY_OPENING_HOURS_SATURDAY,PHARMACY_OPENING_HOURS_THURSDAY,CONTRACT_TYPE,ADDRESS_FIELD_4,ADDRESS_FIELD_3,ADDRESS_FIELD_2,ADDRESS_FIELD_1,TUES_TOTAL,PHARMACY_OPENING_HOURS_TUESDAY,HEALTH_AND_WELLBEING_BOARD,PHARMACY_OPENING_HOURS_FRIDAY,ORGANISATION_NAME,THURS_TOTAL,WEEKLY_TOTAL,PHARMACY_OPENING_HOURS_WEDNESDAY,FRI_TOTAL,PHARMACY_TRADING_NAME,PHARMACY_OPENING_HOURS_MONDAY,SUN_TOTAL,MON_TOTAL,PHARMACY_ODS_CODE__F_CODE_,PHARMACY_OPENING_HOURS_SUNDAY,SAT_TOTAL,WED_TOTAL
BH14 8EE,CLOSED,"08:00-13:00,14:00-18:00",Community,DORSET,POOLE,"ELMS AVENUE, LILLIPUT",LILLIPUT MEDICAL CENTRE,9,"08:00-13:00,14:00-18:00",BOURNEMOUTH & POOLE,"08:00-13:00,14:00-18:00",DAY LEWIS PLC,9,45,"08:00-13:00,14:00-18:00",9,DAY LEWIS PHARMACY,"08:00-13:00,14:00-18:00",0,9,FME91,CLOSED,0,9
BH4 9DZ,"09:00-13:00,14:00-17:30","09:00-13:00,14:00-17:30",Community," ",BOURNEMOUTH,WESTBOURNE,72 POOLE RD,7.5,"09:00-13:00,14:00-17:30",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-17:30",BOOTS UK LIMITED,7.5,45,"09:00-13:00,14:00-17:30",7.5,BOOTS,"09:00-13:00,14:00-17:30",0,7.5,FQ519,CLOSED,7.5,7.5
DT9 3BA,"09:00-13:00,14:00-17:30","09:00-13:00,14:00-17:30",Community,DORSET,SHERBORNE,,29 CHEAP STREET,7.5,"09:00-13:00,14:00-17:30",DORSET,"09:00-13:00,14:00-17:30",BOOTS UK LIMITED,7.5,45,"09:00-13:00,14:00-17:30",7.5,BOOTS,"09:00-13:00,14:00-17:30",0,7.5,FQK43,CLOSED,7.5,7.5
SP7 8JG,"09:00-13:30,14:30-17:30","09:00-13:30,14:30-17:30",Community," ",DORSET,SHAFTESBURY,33 HIGH ST,7.5,"09:00-13:30,14:30-17:30",DORSET,"09:00-13:30,14:30-17:30",BOOTS UK LIMITED,7.5,45,"09:00-13:30,14:30-17:30",7.5,BOOTS,"09:00-13:30,14:30-17:30",0,7.5,FPC33,CLOSED,7.5,7.5
BH21 3LN,09:00-13:00,09:00-18:00,Community,DORSET,WIMBORNE,CORFE MULLEN,216B WAREHAM ROAD,9,09:00-18:00,DORSET,09:00-18:00,BOOTS UK LIMITED,9,49,09:00-18:00,9,BOOTS,09:00-18:00,0,9,FAM12,CLOSED,4,9
BH11 9HS,09:00-13:00,09:00-18:00,Community,DORSET,BOURNEMOUTH,BEAR CROSS,52 ANCHOR ROAD,9,09:00-18:00,BOURNEMOUTH & POOLE,09:00-18:00,BEAR CROSS PHARMA LTD,9,49,09:00-18:00,9,BEAR CROSS PHARMACY,09:00-18:00,0,9,FJ896,CLOSED,4,9
BH9 2AB,09:00-13:00,09:00-18:00,Community,DORSET,BOURNEMOUTH,WINTON,309 WIMBORNE ROAD,9,09:00-18:00,BOURNEMOUTH & POOLE,09:00-18:00,RIVERSIDE (BOURNEMOUTH) LTD,9,49,09:00-18:00,9,WINTON PHARMACY,09:00-18:00,0,9,FWH91,CLOSED,4,9
BH18 8DP,"08:45-12:30,13:30-17:30","08:45-12:30,13:30-18:00",Community,DORSET,BROADSTONE,LOWER BLANDFORD ROAD,184B THE BROADWAY,8.25,"08:45-12:30,13:30-18:00",BOURNEMOUTH & POOLE,"08:45-12:30,13:30-18:00",BOOTS UK LIMITED,8.25,49,"08:45-12:30,13:30-18:00",8.25,BOOTS,"08:45-12:30,13:30-18:00",0,8.25,FH405,CLOSED,7.75,8.25
BH12 1DN,09:00-14:00,09:00-17:00,Community,DORSET,POOLE,REDLANDS ROAD,UNIT 4 COMMERCE CENTRE,8,09:00-17:00,BOURNEMOUTH & POOLE,09:00-17:00,BOOTS UK LIMITED,8,51,09:00-17:00,8,BOOTS,09:00-17:00,6,8,FAX44,10:00-16:00,5,8
BH15 1SX,09:00-17:30,09:00-17:30,Community,DORSET,POOLE,190-196 HIGH STREET,C/O THE DOLPHIN CENTRE,8.5,09:00-17:30,BOURNEMOUTH & POOLE,09:00-17:30,BOOTS UK LIMITED,8.5,51,09:00-17:30,8.5,BOOTS,09:00-17:30,0,8.5,FC009,CLOSED,8.5,8.5
BH23 1QB,09:00-17:30,09:00-17:30,Community,DORSET,CHRISTCHURCH,,23 SAXON SQUARE,8.5,09:00-17:30,DORSET,09:00-17:30,BOOTS UK LIMITED,8.5,51,09:00-17:30,8.5,BOOTS,09:00-17:30,0,8.5,FHC47,CLOSED,8.5,8.5
BH4 9BB,09:00-17:30,09:00-17:30,Community,DORSET,BOURNEMOUTH,WESTBOURNE,95 POOLE ROAD,8.5,09:00-17:30,BOURNEMOUTH & POOLE,09:00-17:30,CHOUHAN PJ,8.5,51,09:00-17:30,8.5,VANTAGE PHARMACY,09:00-17:30,0,8.5,FT722,CLOSED,8.5,8.5
BH1 4AN,09:00-17:30,09:00-17:30,Community,DORSET,BOURNEMOUTH,BOSCOMBE,609-611 CHRISTCHURCH ROAD,8.5,09:00-17:30,BOURNEMOUTH & POOLE,09:00-17:30,SUPERDRUG STORES PLC,8.5,51,09:00-17:30,8.5,SUPERDRUG PHARMACY,09:00-17:30,0,8.5,FVY74,CLOSED,8.5,8.5
BH19 1AB,"09:00-13:00,14:00-17:30","09:00-13:00,14:00-17:30",Community," ",DORSET,SWANAGE,1-3 STATION RD,7.5,"09:00-13:00,14:00-17:30",DORSET,"09:00-13:00,14:00-17:30",BOOTS UK LIMITED,7.5,51,"09:00-13:00,14:00-17:30",7.5,BOOTS,"09:00-13:00,14:00-17:30",6,7.5,FFA03,10:00-16:00,7.5,7.5
BH1 4BP,"09:00-13:00,14:00-17:30","09:00-13:00,14:00-17:30",Community,DORSET,BOURNEMOUTH,BOSCOMBE,626-628 CHRISTCHURCH RD,7.5,"09:00-13:00,14:00-17:30",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-17:30",BOOTS UK LIMITED,7.5,51,"09:00-13:00,14:00-17:30",7.5,BOOTS,"09:00-13:00,14:00-17:30",6,7.5,FV796,10:00-16:00,7.5,7.5
DT1 1BS,09:00-17:30,08:30-17:30,Community,DORSET,DORCHESTER,,17 SOUTH STREET,9,08:30-17:30,DORSET,08:30-17:30,SUPERDRUG STORES PLC,9,53,08:30-17:30,9,SUPERDRUG PHARMACY,"08:30-14:00,14:30-17:30",0,8.5,FN247,CLOSED,8.5,9
SP7 8DH,09:00-12:00,08:30-18:30,Community,DORSET,SHAFTESBURY,HAWKESDENE LANE,ABBEY VIEW MEDICAL CENTRE,10,08:30-18:30,DORSET,08:30-18:30,LP SD NINE LIMITED,10,53,08:30-18:30,10,JHOOTS PHARMACY,08:30-18:30,0,10,FG146,CLOSED,3,10
DT5 1BX,09:00-17:00,09:00-18:00,Community,DORSET,PORTLAND,,2 EASTON SQUARE,9,09:00-18:00,DORSET,09:00-18:00,BOOTS UK LIMITED,9,53,09:00-18:00,9,BOOTS,09:00-18:00,0,9,FQF92,CLOSED,8,9
DT1 1QR,08:30-15:30,08:30-18:30,Community,DORSET,DORCHESTER,5 WEYMOUTH AVENUE,UNIT 1 BREWERY SQUARE,10,08:30-18:30,DORSET,08:30-18:30,TOUT LIMITED,10,57,08:30-18:30,10,TOUT'S PHARMACY,08:30-18:30,0,10,FTT38,CLOSED,7,10
BH10 4DZ,09:00-18:00,09:00-19:00,Community,DORSET,BOURNEMOUTH,ENSBURY PARK,21-23 COLUMBIA ROAD,10,09:00-19:00,BOURNEMOUTH & POOLE,09:00-19:00,JASPERS HEALTH LIMITED,10,59,09:00-19:00,10,LATE NIGHT COLUMBIA CHEMIST,09:00-19:00,0,10,FAA53,CLOSED,9,10
BH22 9AL,"08:30-13:00,14:00-17:30","09:00-13:00,14:00-19:00",Community,DORSET,FERNDOWN,TRICKETTS CROSS,RINGWOOD ROAD,9,"09:00-13:00,14:00-19:00",DORSET,"09:00-13:00,14:00-19:00",BOOTS UK LIMITED,9,59,"09:00-13:00,14:00-19:00",9,BOOTS,"09:00-13:00,14:00-19:00",6,9,FMA93,10:00-16:00,8,9
DT3 5AX,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-19:00",Community,DORSET,WEYMOUTH,,DORCHESTER ROAD,9,"09:00-13:00,14:00-19:00",DORSET,"09:00-13:00,14:00-19:00",WM MORRISON SUPERMARKETS LIMITED,9,59,"09:00-13:00,14:00-19:00",9,MORRISONS PHARMACY,"09:00-13:00,14:00-19:00",6,9,FMK10,10:00-16:00,8,9
BH31 6UQ,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-19:00",Community," ",DORSET,VERWOOD,CHILTERN DRIVE,9,"09:00-13:00,14:00-19:00",DORSET,"09:00-13:00,14:00-19:00",WM MORRISON SUPERMARKETS LIMITED,9,59,"09:00-13:00,14:00-19:00",9,MORRISONS PHARMACY,"09:00-13:00,14:00-19:00",6,9,FPT55,10:00-16:00,8,9
BH12 4NX,09:00-21:00,09:00-21:00,Community,DORSET,POOLE,MANNINGS HEATH,YARROW ROAD,12,09:00-21:00,BOURNEMOUTH & POOLE,09:00-21:00,TESCO STORES LIMITED,12,78,09:00-21:00,12,TESCO INSTORE PHARMACY,09:00-21:00,6,12,FCG62,10:00-16:00,12,12
BH12 1AU,09:00-21:00,09:00-21:00,Community,DORSET,POOLE,BRANKSOME,POOLE ROAD,12,09:00-21:00,BOURNEMOUTH & POOLE,09:00-21:00,TESCO STORES LIMITED,12,78,09:00-21:00,12,TESCO INSTORE PHARMACY,09:00-21:00,6,12,FHE41,10:00-16:00,12,12
DT1 2RY,09:00-21:00,09:00-21:00,Community,,DORSET,DORCHESTER,WEYMOUTH AVENUE,12,09:00-21:00,DORSET,09:00-21:00,TESCO STORES LIMITED,12,78,09:00-21:00,12,TESCO INSTORE PHARMACY,09:00-21:00,6,12,FMG47,10:00-16:00,12,12
DT10 2LL,09:00-13:00,"09:00-13:00,14:00-17:30",Community,DORSET,STALBRIDGE,,HIGH STREET,7.5,"09:00-13:00,14:00-17:30",DORSET,"09:00-13:00,14:00-17:30",MB STALBRIDGE LIMITED,7.5,41.5,"09:00-13:00,14:00-17:30",7.5,STALBRIDGE PHARMACY,"09:00-13:00,14:00-17:30",0,7.5,FAW80,CLOSED,4,7.5
BH17 9DW,09:00-13:00,"09:00-13:00,14:00-17:30",Community,DORSET,POOLE,CULLIFORD CRESCENT,12 NEIGHBOURHOOD CENTRE,7.5,"09:00-13:00,14:00-17:30",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-17:30",ARROWEDGE LIMITED,7.5,41.5,"09:00-13:00,14:00-17:30",7.5,ARROWEDGE PHARMACY,"09:00-13:00,14:00-17:30",0,7.5,FE379,CLOSED,4,7.5
BH18 8DP,09:00-13:00,"09:00-13:00,14:00-17:30",Community,DORSET,POOLE,BROADSTONE,188B LOWER BLANDFORD ROAD,7.5,"09:00-13:00,14:00-17:30",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-17:30",ARROWEDGE LTD,7.5,41.5,"09:00-13:00,14:00-17:30",7.5,ARROWEDGE PHARMACY,"09:00-13:00,14:00-17:30",0,7.5,FJG24,CLOSED,4,7.5
BH23 4AS,09:00-13:00,"09:00-13:00,14:00-17:30",Community," ",DORSET,CHRISTCHURCH,94 MUDEFORD,7.5,"09:00-13:00,14:00-17:30",DORSET,"09:00-13:00,14:00-17:30",WESSEX PHARMACIES LTD,7.5,41.5,"09:00-13:00,14:00-17:30",7.5,MUDEFORD PHARMACY,"09:00-13:00,14:00-17:30",0,7.5,FP298,CLOSED,4,7.5
BH7 6BW,09:00-13:00,"09:00-13:00,14:00-17:30",Community," ",BOURNEMOUTH,BOSCOMBE EAST,1215 CHRISTCHURCH ROAD,7.5,"09:00-13:00,14:00-17:30",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-17:30",PHARMASTAR LIMITED,7.5,41.5,"09:00-13:00,14:00-17:30",7.5,C & M CHEMISTS,"09:00-13:00,14:00-17:30",0,7.5,FQ306,CLOSED,4,7.5
BH13 7LP,09:00-13:00,"09:00-13:00,14:00-17:30",Community,DORSET,POOLE,CANFORD CLIFFS,28 HAVEN ROAD,7.5,"09:00-13:00,14:00-17:30",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-17:30",DAY LEWIS PLC,7.5,41.5,"09:00-13:00,14:00-17:30",7.5,DAY LEWIS PHARMACY,"09:00-13:00,14:00-17:30",0,7.5,FRW86,CLOSED,4,7.5
BH24 2HP,09:00-13:00,"09:00-13:00,14:00-17:30",Community,HAMPSHIRE,NR RINGWOOD,ASHLEY HEATH,2 & 3 HIGH STREET,7.5,"09:00-13:00,14:00-17:30",DORSET,"09:00-13:00,14:00-17:30",SUPER HAPPY WING LIMITED,7.5,41.5,"09:00-13:00,14:00-17:30",7.5,ASHLEY HEATH PHARMACY,"09:00-13:00,14:00-17:30",0,7.5,FWH67,CLOSED,4,7.5
DT6 6PX,09:00-13:00,"09:00-13:00,14:00-17:30",Community,DORSET,CHARMOUTH,,THE STREET,7.5,"09:00-13:00,14:00-17:30",DORSET,"09:00-13:00,14:00-17:30",FG LOCK LIMITED,7.5,41.5,"09:00-13:00,14:00-17:30",7.5,CHARMOUTH PHARMACY,"09:00-13:00,14:00-17:30",0,7.5,FYM76,CLOSED,4,7.5
BH9 2HE,"10:00-14:00,15:00-17:00","09:00-14:00,15:00-17:30",Community," ",BOURNEMOUTH,WINTON,358-362 WIMBORNE RD,7.5,"09:00-14:00,15:00-17:30",BOURNEMOUTH & POOLE,"09:00-14:00,15:00-17:30",BOOTS UK LIMITED,7.5,43.5,"09:00-14:00,15:00-17:30",7.5,BOOTS,"09:00-14:00,15:00-17:30",0,7.5,FM254,CLOSED,6,7.5
BH11 9TW,09:00-12:00,09:00-17:30,Community,DORSET,BOURNEMOUTH,KING JOHN AVENUE,UNIT 4 BEARWOOD CENTRE,8.5,09:00-17:30,BOURNEMOUTH & POOLE,09:00-17:30,AVICENNA RETAIL LTD,8.5,45.5,09:00-17:30,8.5,AVICENNA PHARMACY,09:00-17:30,0,8.5,FLG28,CLOSED,3,8.5
DT1 2FD,09:00-12:00,09:00-17:30,Community,DORSET,DORCHESTER,"ST JOHN WAY, POUNDBURY",1 FREDERICK TREVES HOUSE,8.5,09:00-17:30,DORSET,09:00-17:30,AUNPHARMA LIMITED,8.5,45.5,09:00-17:30,8.5,POUNDBURY PHARMACY,09:00-17:30,0,8.5,FN115,CLOSED,3,8.5
DT9 3BA,09:00-14:00,09:00-17:30,Community,DORSET,SHERBORNE,,83 CHEAP STREET,8.5,09:00-17:30,DORSET,09:00-17:30,FLAGSHIP (DORSET) LTD,8.5,47.5,09:00-17:30,8.5,THE ABBEY PHARMACY,09:00-17:30,0,8.5,FL223,CLOSED,5,8.5
BH1 4AN,09:00-13:00,08:30-18:00,Community,DORSET,BOURNEMOUTH,BOSCOMBE,595 CHRISTCHURCH ROAD,9.5,08:30-18:00,BOURNEMOUTH & POOLE,08:30-18:00,WAREMOSS LIMITED,9.5,51.5,08:30-18:00,9.5,KAMSONS PHARMACY,08:30-18:00,0,9.5,FE765,CLOSED,4,9.5
BH8 8EH,09:00-13:00,08:30-18:00,Community,DORSET,BOURNEMOUTH,,5 HOLDENHURST ROAD,9.5,08:30-18:00,BOURNEMOUTH & POOLE,08:30-18:00,TIBBSHEALTHCARE LIMITED,9.5,51.5,08:30-18:00,9.5,HOLDENHURST PHARMACY,08:30-18:00,0,9.5,FNN12,CLOSED,4,9.5
BH5 1LX,09:00-13:00,08:30-18:00,Community,DORSET,BOURNEMOUTH,"BEECHWOOD AVE, BOSCOMBE",SHELLEY MANOR MEDICAL CTR,9.5,08:30-18:00,BOURNEMOUTH & POOLE,08:30-18:00,DAY LEWIS PLC,9.5,51.5,08:30-18:00,9.5,DAY LEWIS PHARMACY,08:30-18:00,0,9.5,FT397,CLOSED,4,9.5
BH22 8EB,09:00-13:00,09:00-18:30,Community,DORSET,FERNDOWN,PARLEY CROSS,143 NEW ROAD,9.5,09:00-18:30,DORSET,09:00-18:30,MEDICINE CLINIC LIMITED,9.5,51.5,09:00-18:30,9.5,PARLEY CROSS PHARMACY,09:00-18:30,0,9.5,FPE70,CLOSED,4,9.5
BH9 2AQ,09:00-17:30,08:30-17:30,Community,,BOURNEMOUTH,WINTON,377 WIMBORNE ROAD,9,08:30-17:30,BOURNEMOUTH & POOLE,08:30-17:30,SUPERDRUG STORES PLC,9,53.5,08:30-17:30,9,SUPERDRUG PHARMACY,08:30-17:30,0,9,FAR75,CLOSED,8.5,9
DT11 7AR,09:00-17:30,09:00-18:00,Community,DORSET,BLANDFORD,,10-14 SALISBURY STREET,9,09:00-18:00,DORSET,09:00-18:00,BOOTS UK LIMITED,9,53.5,09:00-18:00,9,BOOTS,09:00-18:00,0,9,FKN07,CLOSED,8.5,9
BH18 8DP,09:00-17:00,08:30-18:00,Community,DORSET,,BROADSTONE,192C LOWER BLANDFORD ROAD,9.5,08:30-18:00,BOURNEMOUTH & POOLE,08:30-18:00,SIBANDA PHARMA LTD,9.5,55.5,08:30-18:00,9.5,BROADSTONE VILLAGE PHARMACY,08:30-18:00,0,9.5,FMA26,CLOSED,8,9.5
BH15 3DH,09:00-12:00,"09:00-13:00,13:20-17:30",Community,DORSET,POOLE,OAKDALE,315 WIMBORNE ROAD,8.166666667,"09:00-13:00,13:20-17:30",BOURNEMOUTH & POOLE,"09:00-13:00,13:20-17:30",L ROWLAND & CO (RETAIL) LTD,8.166666667,43.83333333,"09:00-13:00,13:20-17:30",8.166666667,ROWLANDS PHARMACY,"09:00-13:00,13:20-17:30",0,8.166666667,FEH72,CLOSED,3,8.166666667
BH21 1SQ,09:00-12:00,"09:00-13:00,13:20-17:30",Community,DORSET,WIMBORNE,MERLEY,56 SOPWITH CRESCENT,8.166666667,"09:00-13:00,13:20-17:30",BOURNEMOUTH & POOLE,"09:00-13:00,13:20-17:30",L ROWLAND & CO (RETAIL) LTD,8.166666667,43.83333333,"09:00-13:00,13:20-17:30",8.166666667,ROWLANDS PHARMACY,"09:00-13:00,13:20-17:30",0,8.166666667,FF719,CLOSED,3,8.166666667
BH15 2PG,09:00-12:00,"09:00-13:00,13:20-17:30",Community," ",DORSET,POOLE,14 PARKSTONE RD,8.166666667,"09:00-13:00,13:20-17:30",BOURNEMOUTH & POOLE,"09:00-13:00,13:20-17:30",L ROWLAND & CO (RETAIL) LTD,8.166666667,43.83333333,"09:00-13:00,13:20-17:30",8.166666667,ROWLANDS PHARMACY,"09:00-13:00,13:20-17:30",0,8.166666667,FGC36,CLOSED,3,8.166666667